,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,B.O.D. (mg/l) : Min : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,CONDUCTIVITY (µmhos/cm) : Min,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,NITRATE- N+ NITRITE-N (mg/l) : Min,State,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,TEMPERATURE ºC : Min,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,pH : Min : 6.5-8.5,B.O.D. (mg/l) : Max : < 3 mg/l_imp,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,B.O.D. (mg/l) : Min : < 3 mg/l_imp,CONDUCTIVITY (µmhos/cm) : Max_imp,CONDUCTIVITY (µmhos/cm) : Mean_imp,CONDUCTIVITY (µmhos/cm) : Min_imp,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml_imp,TEMPERATURE ºC : Max_imp,TEMPERATURE ºC : Mean_imp,TEMPERATURE ºC : Min_imp,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml_imp
142,0.3,0.2,0.2,410.0,381.0,324.0,,,,4.6,3.5,3.0,himachal_pradesh,16.0,16.0,16.0,,,,7.7,7.3,6.5,0.3,0.2,0.2,410.0,381.0,324.0,1887.5023041474653,1088.8341013824884,562.2764976958525,16.0,16.0,16.0,14249.386440677967,4048.237288135593,825.1254237288135
143,2.4,1.2,0.1,572.0,389.0,215.0,40.0,15.0,6.0,10.6,1.9,0.0,himachal_pradesh,22.0,17.7,14.5,84.0,28.0,8.0,7.9,7.5,6.9,2.4,1.2,0.1,572.0,389.0,215.0,40.0,15.0,6.0,22.0,17.7,14.5,84.0,28.0,8.0
144,16.0,4.7,0.5,592.0,357.0,244.0,94.0,70.0,26.0,0.9,0.3,0.1,himachal_pradesh,18.0,16.0,13.0,280.0,235.0,180.0,8.5,8.3,8.1,16.0,4.7,0.5,592.0,357.0,244.0,94.0,70.0,26.0,18.0,16.0,13.0,280.0,235.0,180.0
145,0.2,0.1,0.1,808.0,644.0,317.0,,,,4.2,3.6,2.3,himachal_pradesh,,,,,,,7.0,6.8,6.8,0.2,0.1,0.1,808.0,644.0,317.0,1887.5023041474653,1088.8341013824884,562.2764976958525,26.54555808656036,25.872437357630975,25.276309794988606,14249.386440677967,4048.237288135593,825.1254237288135
146,0.1,0.1,0.1,400.0,370.0,309.0,,,,3.3,3.3,3.3,himachal_pradesh,,,,,,,7.4,7.4,7.3,0.1,0.1,0.1,400.0,370.0,309.0,1887.5023041474653,1088.8341013824884,562.2764976958525,26.54555808656036,25.872437357630975,25.276309794988606,14249.386440677967,4048.237288135593,825.1254237288135
147,2.0,0.7,0.1,885.0,750.0,479.0,,,,1.9,1.9,1.9,himachal_pradesh,,,,,,,6.8,6.7,6.6,2.0,0.7,0.1,885.0,750.0,479.0,1887.5023041474653,1088.8341013824884,562.2764976958525,26.54555808656036,25.872437357630975,25.276309794988606,14249.386440677967,4048.237288135593,825.1254237288135
148,8.0,3.1,0.7,606.0,585.0,574.0,3.0,2.0,1.0,0.6,0.6,0.6,himachal_pradesh,25.0,24.3,24.0,5.0,5.0,5.0,8.2,7.9,7.2,8.0,3.1,0.7,606.0,585.0,574.0,3.0,2.0,1.0,25.0,24.3,24.0,5.0,5.0,5.0
149,0.8,0.8,0.7,537.0,480.0,365.0,1.0,1.0,1.0,0.8,0.8,0.8,himachal_pradesh,24.0,23.3,23.0,5.0,4.0,2.0,7.9,7.5,6.9,0.8,0.8,0.7,537.0,480.0,365.0,1.0,1.0,1.0,24.0,23.3,23.0,5.0,4.0,2.0
150,0.4,0.3,0.1,899.0,852.0,828.0,,,,5.1,4.1,3.6,himachal_pradesh,22.0,16.0,13.0,,,,7.7,7.7,7.6,0.4,0.3,0.1,899.0,852.0,828.0,1887.5023041474653,1088.8341013824884,562.2764976958525,22.0,16.0,13.0,14249.386440677967,4048.237288135593,825.1254237288135
151,0.1,0.1,0.1,735.0,724.0,719.0,,,,2.2,1.9,1.3,himachal_pradesh,23.0,16.3,13.0,,,,8.0,7.9,7.6,0.1,0.1,0.1,735.0,724.0,719.0,1887.5023041474653,1088.8341013824884,562.2764976958525,23.0,16.3,13.0,14249.386440677967,4048.237288135593,825.1254237288135
152,0.1,0.1,0.1,740.0,447.0,132.0,,,,1.2,0.5,0.0,himachal_pradesh,19.0,16.6,13.5,,,,8.6,8.0,7.7,0.1,0.1,0.1,740.0,447.0,132.0,1887.5023041474653,1088.8341013824884,562.2764976958525,19.0,16.6,13.5,14249.386440677967,4048.237288135593,825.1254237288135
153,0.1,0.1,0.1,549.0,502.0,484.0,,,,0.2,0.1,0.0,himachal_pradesh,20.0,19.0,18.0,,,,8.9,8.2,7.7,0.1,0.1,0.1,549.0,502.0,484.0,1887.5023041474653,1088.8341013824884,562.2764976958525,20.0,19.0,18.0,14249.386440677967,4048.237288135593,825.1254237288135
154,1.0,0.7,0.1,1130.0,1042.0,867.0,,,,5.1,3.5,0.5,himachal_pradesh,21.0,15.7,13.0,,,,7.9,7.6,7.4,1.0,0.7,0.1,1130.0,1042.0,867.0,1887.5023041474653,1088.8341013824884,562.2764976958525,21.0,15.7,13.0,14249.386440677967,4048.237288135593,825.1254237288135
155,0.8,0.7,0.4,794.0,767.0,754.0,,,,3.5,2.4,0.2,himachal_pradesh,20.0,16.0,14.0,,,,7.7,7.5,7.2,0.8,0.7,0.4,794.0,767.0,754.0,1887.5023041474653,1088.8341013824884,562.2764976958525,20.0,16.0,14.0,14249.386440677967,4048.237288135593,825.1254237288135
156,0.1,0.1,0.1,869.0,787.0,729.0,,,,8.8,2.2,0.0,himachal_pradesh,20.0,17.5,15.0,,,,8.4,7.5,6.9,0.1,0.1,0.1,869.0,787.0,729.0,1887.5023041474653,1088.8341013824884,562.2764976958525,20.0,17.5,15.0,14249.386440677967,4048.237288135593,825.1254237288135
157,0.1,0.1,0.1,1010.0,443.0,121.0,,,,0.3,0.1,0.0,himachal_pradesh,,,,,,,8.2,7.8,6.7,0.1,0.1,0.1,1010.0,443.0,121.0,1887.5023041474653,1088.8341013824884,562.2764976958525,26.54555808656036,25.872437357630975,25.276309794988606,14249.386440677967,4048.237288135593,825.1254237288135
158,0.1,0.1,0.1,334.0,289.0,200.0,,,,1.1,0.5,0.1,himachal_pradesh,8.0,7.3,7.0,,,,7.9,7.7,7.6,0.1,0.1,0.1,334.0,289.0,200.0,1887.5023041474653,1088.8341013824884,562.2764976958525,8.0,7.3,7.0,14249.386440677967,4048.237288135593,825.1254237288135
159,0.1,0.1,0.1,455.0,299.0,221.0,,,,0.5,0.2,0.1,himachal_pradesh,,,,,,,8.9,8.4,8.2,0.1,0.1,0.1,455.0,299.0,221.0,1887.5023041474653,1088.8341013824884,562.2764976958525,26.54555808656036,25.872437357630975,25.276309794988606,14249.386440677967,4048.237288135593,825.1254237288135
160,1.0,0.7,0.2,586.0,441.0,368.0,,,,1.1,0.5,0.2,himachal_pradesh,19.0,18.3,17.0,,,,7.5,7.5,7.4,1.0,0.7,0.2,586.0,441.0,368.0,1887.5023041474653,1088.8341013824884,562.2764976958525,19.0,18.3,17.0,14249.386440677967,4048.237288135593,825.1254237288135
161,2.8,1.3,0.6,1590.0,1243.0,1070.0,,,,5.8,2.1,0.2,himachal_pradesh,20.0,18.3,15.0,,,,7.5,7.4,7.4,2.8,1.3,0.6,1590.0,1243.0,1070.0,1887.5023041474653,1088.8341013824884,562.2764976958525,20.0,18.3,15.0,14249.386440677967,4048.237288135593,825.1254237288135
162,0.3,0.3,0.2,689.0,656.0,640.0,,,,2.9,2.3,1.2,himachal_pradesh,22.0,20.7,20.0,,,,8.0,7.9,7.5,0.3,0.3,0.2,689.0,656.0,640.0,1887.5023041474653,1088.8341013824884,562.2764976958525,22.0,20.7,20.0,14249.386440677967,4048.237288135593,825.1254237288135
163,0.3,0.2,0.2,437.0,323.0,96.0,,,,2.0,1.8,1.3,himachal_pradesh,20.0,18.3,15.0,,,,8.3,8.0,7.8,0.3,0.2,0.2,437.0,323.0,96.0,1887.5023041474653,1088.8341013824884,562.2764976958525,20.0,18.3,15.0,14249.386440677967,4048.237288135593,825.1254237288135
164,0.6,0.3,0.2,388.0,370.0,361.0,,,,1.6,1.3,1.1,himachal_pradesh,21.0,20.3,20.0,,,,7.7,7.7,7.6,0.6,0.3,0.2,388.0,370.0,361.0,1887.5023041474653,1088.8341013824884,562.2764976958525,21.0,20.3,20.0,14249.386440677967,4048.237288135593,825.1254237288135
165,0.6,0.5,0.3,761.0,732.0,674.0,,,,0.7,0.6,0.2,himachal_pradesh,22.0,19.3,18.0,,,,7.9,7.7,7.2,0.6,0.5,0.3,761.0,732.0,674.0,1887.5023041474653,1088.8341013824884,562.2764976958525,22.0,19.3,18.0,14249.386440677967,4048.237288135593,825.1254237288135
166,1.6,1.3,0.6,237.0,186.0,161.0,,,,1.9,0.8,0.2,himachal_pradesh,23.0,20.3,19.0,,,,8.0,7.8,7.4,1.6,1.3,0.6,237.0,186.0,161.0,1887.5023041474653,1088.8341013824884,562.2764976958525,23.0,20.3,19.0,14249.386440677967,4048.237288135593,825.1254237288135
167,0.2,0.1,0.1,392.0,308.0,266.0,,,,0.3,0.2,0.0,himachal_pradesh,20.0,20.0,20.0,2.0,2.0,2.0,7.4,7.3,7.1,0.2,0.1,0.1,392.0,308.0,266.0,1887.5023041474653,1088.8341013824884,562.2764976958525,20.0,20.0,20.0,2.0,2.0,2.0
168,0.1,0.1,0.1,1105.0,1105.0,1105.0,,,,0.1,0.1,0.1,himachal_pradesh,,,,,,,8.7,8.7,8.7,0.1,0.1,0.1,1105.0,1105.0,1105.0,1887.5023041474653,1088.8341013824884,562.2764976958525,26.54555808656036,25.872437357630975,25.276309794988606,14249.386440677967,4048.237288135593,825.1254237288135
169,0.9,0.9,0.8,648.0,632.0,600.0,3.0,2.0,1.0,0.8,0.8,0.8,himachal_pradesh,24.5,22.2,21.0,8.0,6.0,5.0,7.9,7.5,6.7,0.9,0.9,0.8,648.0,632.0,600.0,3.0,2.0,1.0,24.5,22.2,21.0,8.0,6.0,5.0
170,0.8,0.7,0.7,1250.0,979.0,436.0,2.0,1.0,1.0,0.8,0.8,0.6,himachal_pradesh,24.0,22.0,21.0,5.0,5.0,5.0,8.3,7.8,6.9,0.8,0.7,0.7,1250.0,979.0,436.0,2.0,1.0,1.0,24.0,22.0,21.0,5.0,5.0,5.0
171,0.6,0.5,0.3,686.0,522.0,440.0,,,,1.2,1.0,0.5,himachal_pradesh,24.0,16.7,13.0,,,,8.2,7.9,7.4,0.6,0.5,0.3,686.0,522.0,440.0,1887.5023041474653,1088.8341013824884,562.2764976958525,24.0,16.7,13.0,14249.386440677967,4048.237288135593,825.1254237288135
172,,,,281.0,281.0,281.0,,,,0.0,0.0,0.0,himachal_pradesh,14.5,14.5,14.5,,,,8.1,8.1,8.1,3.1707964601769913,2.6238938053097334,2.198230088495573,281.0,281.0,281.0,1887.5023041474653,1088.8341013824884,562.2764976958525,14.5,14.5,14.5,14249.386440677967,4048.237288135593,825.1254237288135
173,1.2,1.0,0.8,180.0,159.0,137.0,220.0,150.0,79.0,3.31,2.6,1.96,kerala,27.5,27.5,27.4,630.0,370.0,110.0,7.2,6.2,5.2,1.2,1.0,0.8,180.0,159.0,137.0,220.0,150.0,79.0,27.5,27.5,27.4,630.0,370.0,110.0
174,0.6,0.4,0.2,125.0,114.0,103.0,350.0,184.0,17.0,1.3,0.9,0.42,kerala,26.0,25.0,24.0,430.0,226.0,22.0,7.7,6.7,5.7,0.6,0.4,0.2,125.0,114.0,103.0,350.0,184.0,17.0,26.0,25.0,24.0,430.0,226.0,22.0
175,0.6,0.6,0.6,220.0,195.0,170.0,280.0,162.0,43.0,0.84,0.8,0.81,kerala,24.0,24.0,24.0,430.0,270.0,110.0,7.2,6.0,4.8,0.6,0.6,0.6,220.0,195.0,170.0,280.0,162.0,43.0,24.0,24.0,24.0,430.0,270.0,110.0
176,1.6,1.3,1.0,412.0,354.0,296.0,110.0,95.0,79.0,2.3,1.2,0.0,kerala,26.5,25.8,25.0,350.0,285.0,220.0,6.8,6.4,6.0,1.6,1.3,1.0,412.0,354.0,296.0,110.0,95.0,79.0,26.5,25.8,25.0,350.0,285.0,220.0
177,7.0,4.0,1.0,170.0,160.0,150.0,94.0,69.0,43.0,4.2,2.7,1.2,kerala,26.5,25.8,25.0,240.0,210.0,180.0,7.4,7.2,7.0,7.0,4.0,1.0,170.0,160.0,150.0,94.0,69.0,43.0,26.5,25.8,25.0,240.0,210.0,180.0
178,0.5,0.5,0.5,168.0,159.0,150.0,2.0,1.0,0.0,1.2,0.8,0.3,kerala,23.0,23.0,23.0,49.0,33.0,17.0,4.8,4.7,4.6,0.5,0.5,0.5,168.0,159.0,150.0,2.0,1.0,0.0,23.0,23.0,23.0,49.0,33.0,17.0
179,1.2,0.8,0.3,211.0,177.0,143.0,210.0,160.0,110.0,0.1,0.0,0.0,kerala,28.5,28.3,28.0,280.0,245.0,210.0,7.7,7.7,7.6,1.2,0.8,0.3,211.0,177.0,143.0,210.0,160.0,110.0,28.5,28.3,28.0,280.0,245.0,210.0
180,4.9,3.1,1.2,580.0,405.0,230.0,140.0,76.0,11.0,9.7,5.2,0.7,kerala,29.0,28.6,28.2,700.0,455.0,210.0,7.7,7.7,7.7,4.9,3.1,1.2,580.0,405.0,230.0,140.0,76.0,11.0,29.0,28.6,28.2,700.0,455.0,210.0
181,1.2,1.0,0.8,526.0,328.0,130.0,11.0,7.0,2.0,9.9,5.7,1.5,kerala,28.5,27.8,27.0,21.0,14.0,7.0,6.8,5.7,4.5,1.2,1.0,0.8,526.0,328.0,130.0,11.0,7.0,2.0,28.5,27.8,27.0,21.0,14.0,7.0
182,1.0,0.9,0.8,250.0,248.0,245.0,220.0,116.0,11.0,8.5,8.1,7.8,kerala,28.0,28.0,28.0,700.0,361.0,21.0,7.2,6.9,6.6,1.0,0.9,0.8,250.0,248.0,245.0,220.0,116.0,11.0,28.0,28.0,28.0,700.0,361.0,21.0
183,1.2,1.0,0.8,280.0,270.0,260.0,180.0,160.0,140.0,2.9,1.5,0.2,kerala,30.0,29.0,28.0,630.0,585.0,540.0,7.9,7.6,7.2,1.2,1.0,0.8,280.0,270.0,260.0,180.0,160.0,140.0,30.0,29.0,28.0,630.0,585.0,540.0
184,0.8,0.6,0.4,290.0,285.0,280.0,4.0,2.0,0.0,1.0,0.7,0.4,kerala,29.5,29.3,29.0,21.0,16.0,11.0,6.9,6.8,6.7,0.8,0.6,0.4,290.0,285.0,280.0,4.0,2.0,0.0,29.5,29.3,29.0,21.0,16.0,11.0
185,0.9,0.6,0.2,106.0,101.0,95.0,350.0,181.0,11.0,1.9,1.6,1.3,kerala,27.0,26.0,25.0,790.0,404.0,17.0,7.0,6.7,6.3,0.9,0.6,0.2,106.0,101.0,95.0,350.0,181.0,11.0,27.0,26.0,25.0,790.0,404.0,17.0
186,1.2,1.0,0.7,100.0,99.0,98.0,4.0,2.0,0.0,3.7,3.3,2.9,kerala,29.0,29.0,29.0,21.0,16.0,11.0,6.1,5.5,4.8,1.2,1.0,0.7,100.0,99.0,98.0,4.0,2.0,0.0,29.0,29.0,29.0,21.0,16.0,11.0
187,2.0,1.2,0.4,198.0,164.0,130.0,2.0,1.0,0.0,4.1,2.3,0.5,kerala,28.0,28.0,28.0,26.0,18.0,9.0,7.0,6.6,6.2,2.0,1.2,0.4,198.0,164.0,130.0,2.0,1.0,0.0,28.0,28.0,28.0,26.0,18.0,9.0
188,0.5,0.4,0.3,405.0,281.0,156.0,1100.0,795.0,490.0,7.0,5.6,4.1,kerala,29.0,28.3,27.5,2600.0,1695.0,790.0,7.3,6.5,5.7,0.5,0.4,0.3,405.0,281.0,156.0,1100.0,795.0,490.0,29.0,28.3,27.5,2600.0,1695.0,790.0
189,0.7,0.7,0.6,98.0,93.0,88.0,790.0,640.0,490.0,3.4,2.9,2.4,kerala,29.0,28.0,27.0,1400.0,1250.0,1100.0,6.5,5.7,4.9,0.7,0.7,0.6,98.0,93.0,88.0,790.0,640.0,490.0,29.0,28.0,27.0,1400.0,1250.0,1100.0
190,0.5,0.5,0.5,166.0,157.0,147.0,1100.0,655.0,210.0,3.2,2.7,2.3,kerala,28.0,27.5,27.0,2800.0,1615.0,430.0,6.5,6.2,5.9,0.5,0.5,0.5,166.0,157.0,147.0,1100.0,655.0,210.0,28.0,27.5,27.0,2800.0,1615.0,430.0
191,0.4,0.4,0.4,179.0,137.0,95.0,630.0,340.0,49.0,11.9,6.8,1.6,kerala,28.0,27.3,26.5,1100.0,605.0,110.0,6.9,6.2,5.5,0.4,0.4,0.4,179.0,137.0,95.0,630.0,340.0,49.0,28.0,27.3,26.5,1100.0,605.0,110.0
192,1.5,1.1,0.7,254.0,249.0,243.0,430.0,320.0,210.0,0.1,0.0,0.0,kerala,28.0,28.0,28.0,700.0,505.0,310.0,7.8,7.8,7.7,1.5,1.1,0.7,254.0,249.0,243.0,430.0,320.0,210.0,28.0,28.0,28.0,700.0,505.0,310.0
193,1.2,1.2,1.2,230.0,205.0,180.0,210.0,160.0,110.0,2.5,2.5,2.4,kerala,24.0,24.0,24.0,490.0,460.0,430.0,7.2,6.4,5.5,1.2,1.2,1.2,230.0,205.0,180.0,210.0,160.0,110.0,24.0,24.0,24.0,490.0,460.0,430.0
194,2.0,1.9,1.8,525.0,488.0,450.0,210.0,111.0,11.0,2.5,1.7,0.9,kerala,24.0,24.0,24.0,490.0,267.0,43.0,8.3,7.9,7.4,2.0,1.9,1.8,525.0,488.0,450.0,210.0,111.0,11.0,24.0,24.0,24.0,490.0,267.0,43.0
195,1.2,1.0,0.8,81.0,63.0,45.0,21.0,15.0,9.0,1.2,1.2,1.1,kerala,28.0,27.5,27.0,220.0,165.0,110.0,5.8,5.2,4.5,1.2,1.0,0.8,81.0,63.0,45.0,21.0,15.0,9.0,28.0,27.5,27.0,220.0,165.0,110.0
196,1.0,1.0,0.9,404.0,313.0,222.0,4.0,2.0,0.0,7.0,5.5,4.0,kerala,28.0,27.5,27.0,21.0,15.0,9.0,6.0,6.0,6.0,1.0,1.0,0.9,404.0,313.0,222.0,4.0,2.0,0.0,28.0,27.5,27.0,21.0,15.0,9.0
197,0.7,0.5,0.3,240.0,237.0,234.0,22.0,11.0,0.0,3.4,2.1,0.8,kerala,29.5,29.0,28.5,110.0,55.0,0.0,6.8,6.6,6.3,0.7,0.5,0.3,240.0,237.0,234.0,22.0,11.0,0.0,29.5,29.0,28.5,110.0,55.0,0.0
198,2.8,1.9,1.0,300.0,280.0,260.0,260.0,170.0,79.0,5.2,4.1,3.0,kerala,31.0,30.0,29.0,790.0,640.0,490.0,7.2,6.7,6.2,2.8,1.9,1.0,300.0,280.0,260.0,260.0,170.0,79.0,31.0,30.0,29.0,790.0,640.0,490.0
199,105.0,53.2,1.3,230.0,208.0,186.0,230.0,155.0,79.0,3.0,2.3,1.5,kerala,30.0,29.5,29.0,790.0,505.0,220.0,5.3,5.2,5.1,105.0,53.2,1.3,230.0,208.0,186.0,230.0,155.0,79.0,30.0,29.5,29.0,790.0,505.0,220.0
200,1.0,0.9,0.8,347.0,299.0,251.0,1400.0,740.0,79.0,7.9,5.5,3.1,kerala,28.1,27.6,27.0,1700.0,1065.0,430.0,6.8,5.8,4.7,1.0,0.9,0.8,347.0,299.0,251.0,1400.0,740.0,79.0,28.1,27.6,27.0,1700.0,1065.0,430.0
201,3.0,1.9,0.8,230.0,157.0,83.0,11.0,7.0,2.0,0.5,0.4,0.4,kerala,28.3,27.8,27.3,21.0,13.0,5.0,7.0,7.0,7.0,3.0,1.9,0.8,230.0,157.0,83.0,11.0,7.0,2.0,28.3,27.8,27.3,21.0,13.0,5.0
202,1.2,0.8,0.3,1074.0,885.0,696.0,350.0,245.0,140.0,2.6,1.8,1.1,kerala,31.0,30.0,29.0,540.0,390.0,240.0,7.1,7.0,6.9,1.2,0.8,0.3,1074.0,885.0,696.0,350.0,245.0,140.0,31.0,30.0,29.0,540.0,390.0,240.0
203,0.9,0.6,0.2,105.0,105.0,104.0,350.0,180.0,9.0,3.6,2.7,1.8,kerala,29.0,27.5,26.0,790.0,406.0,21.0,7.1,6.2,5.2,0.9,0.6,0.2,105.0,105.0,104.0,350.0,180.0,9.0,29.0,27.5,26.0,790.0,406.0,21.0
204,1.2,0.9,0.6,1025.0,831.0,637.0,7.0,4.0,0.0,2.0,1.8,1.5,kerala,30.0,29.0,28.0,13.0,7.0,0.0,7.8,7.6,7.4,1.2,0.9,0.6,1025.0,831.0,637.0,7.0,4.0,0.0,30.0,29.0,28.0,13.0,7.0,0.0
205,1.8,1.4,0.9,216.0,186.0,156.0,5.0,4.0,2.0,2.5,2.3,2.0,kerala,28.5,28.5,28.5,21.0,16.0,11.0,7.7,7.4,7.0,1.8,1.4,0.9,216.0,186.0,156.0,5.0,4.0,2.0,28.5,28.5,28.5,21.0,16.0,11.0
206,1.0,1.0,1.0,110.0,110.0,109.0,0.0,0.0,0.0,2.3,2.0,1.7,kerala,27.0,27.0,27.0,9.0,5.0,0.0,6.5,6.2,5.8,1.0,1.0,1.0,110.0,110.0,109.0,0.0,0.0,0.0,27.0,27.0,27.0,9.0,5.0,0.0
207,,,,1248.0,951.0,816.0,4000.0,4000.0,4000.0,0.0,0.0,0.0,lakshadweep,32.8,30.1,27.7,100000.0,22333.0,4000.0,7.9,7.3,6.7,3.1707964601769913,2.6238938053097334,2.198230088495573,1248.0,951.0,816.0,4000.0,4000.0,4000.0,32.8,30.1,27.7,100000.0,22333.0,4000.0
208,,,,2240.0,1727.0,1178.0,2000.0,1333.0,1000.0,0.0,0.0,0.0,lakshadweep,32.6,29.9,27.5,25000.0,8909.0,1000.0,7.6,7.2,6.8,3.1707964601769913,2.6238938053097334,2.198230088495573,2240.0,1727.0,1178.0,2000.0,1333.0,1000.0,32.6,29.9,27.5,25000.0,8909.0,1000.0
209,,,,1004.0,777.0,590.0,114000.0,25857.0,2000.0,0.0,0.0,0.0,lakshadweep,32.5,29.7,27.4,128000.0,37250.0,10000.0,7.6,7.2,6.5,3.1707964601769913,2.6238938053097334,2.198230088495573,1004.0,777.0,590.0,114000.0,25857.0,2000.0,32.5,29.7,27.4,128000.0,37250.0,10000.0
210,,,,1264.0,702.0,458.0,3000.0,1557.0,227.0,0.0,0.0,0.0,lakshadweep,32.5,29.7,27.0,74000.0,24250.0,9000.0,658.0,61.5,6.9,3.1707964601769913,2.6238938053097334,2.198230088495573,1264.0,702.0,458.0,3000.0,1557.0,227.0,32.5,29.7,27.0,74000.0,24250.0,9000.0
211,,,,694.0,660.0,585.0,14000.0,4116.0,465.0,0.0,0.0,0.0,lakshadweep,31.6,29.7,27.8,294000.0,55192.0,300.0,8.1,7.4,6.7,3.1707964601769913,2.6238938053097334,2.198230088495573,694.0,660.0,585.0,14000.0,4116.0,465.0,31.6,29.7,27.8,294000.0,55192.0,300.0
212,,,,971.0,768.0,629.0,18000.0,5952.0,1000.0,0.0,0.0,0.0,lakshadweep,31.6,30.0,27.0,392500.0,67533.0,900.0,7.6,7.3,6.5,3.1707964601769913,2.6238938053097334,2.198230088495573,971.0,768.0,629.0,18000.0,5952.0,1000.0,31.6,30.0,27.0,392500.0,67533.0,900.0
213,,,,963.0,810.0,603.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,lakshadweep,31.6,29.7,27.4,162000.0,32000.0,2000.0,7.6,7.1,6.6,3.1707964601769913,2.6238938053097334,2.198230088495573,963.0,810.0,603.0,1000.0,1000.0,1000.0,31.6,29.7,27.4,162000.0,32000.0,2000.0
214,,,,1041.0,937.0,823.0,1578.0,1289.0,1000.0,0.0,0.0,0.0,lakshadweep,31.5,30.1,27.8,117000.0,26864.0,1000.0,7.4,7.0,6.5,3.1707964601769913,2.6238938053097334,2.198230088495573,1041.0,937.0,823.0,1578.0,1289.0,1000.0,31.5,30.1,27.8,117000.0,26864.0,1000.0
215,,,,3660.0,2012.0,695.0,11000.0,9000.0,7000.0,0.0,0.0,0.0,lakshadweep,30.7,29.8,28.3,420000.0,145773.0,4000.0,7.5,7.2,6.6,3.1707964601769913,2.6238938053097334,2.198230088495573,3660.0,2012.0,695.0,11000.0,9000.0,7000.0,30.7,29.8,28.3,420000.0,145773.0,4000.0
216,,,,1970.0,1645.0,1313.0,12000.0,4000.0,1000.0,0.0,0.0,0.0,lakshadweep,30.7,29.3,27.8,68000.0,25250.0,4000.0,7.6,7.3,6.8,3.1707964601769913,2.6238938053097334,2.198230088495573,1970.0,1645.0,1313.0,12000.0,4000.0,1000.0,30.7,29.3,27.8,68000.0,25250.0,4000.0
217,,,,4830.0,2842.0,1513.0,26000.0,8500.0,1000.0,0.0,0.0,0.0,lakshadweep,30.9,29.5,28.5,183000.0,60333.0,4000.0,7.4,7.2,6.9,3.1707964601769913,2.6238938053097334,2.198230088495573,4830.0,2842.0,1513.0,26000.0,8500.0,1000.0,30.9,29.5,28.5,183000.0,60333.0,4000.0
218,,,,1800.0,1254.0,1019.0,10000.0,6500.0,3000.0,0.0,0.0,0.0,lakshadweep,30.8,29.6,28.6,1120000.0,241873.0,4000.0,7.6,7.3,7.0,3.1707964601769913,2.6238938053097334,2.198230088495573,1800.0,1254.0,1019.0,10000.0,6500.0,3000.0,30.8,29.6,28.6,1120000.0,241873.0,4000.0
219,,,,1165.0,902.0,638.0,5000.0,3000.0,1000.0,0.0,0.0,0.0,lakshadweep,31.5,29.9,28.0,240000.0,77692.0,11300.0,8.0,7.3,6.6,3.1707964601769913,2.6238938053097334,2.198230088495573,1165.0,902.0,638.0,5000.0,3000.0,1000.0,31.5,29.9,28.0,240000.0,77692.0,11300.0
220,127.4,127.4,127.4,1005.0,1005.0,1005.0,,,,1.0,1.0,1.0,madhya_pradesh,35.0,35.0,35.0,,,,7.1,7.1,7.1,127.4,127.4,127.4,1005.0,1005.0,1005.0,1887.5023041474653,1088.8341013824884,562.2764976958525,35.0,35.0,35.0,14249.386440677967,4048.237288135593,825.1254237288135
221,,,,1880.0,1880.0,1880.0,,,,1.8,1.8,1.8,madhya_pradesh,,,,,,,7.5,7.5,7.5,3.1707964601769913,2.6238938053097334,2.198230088495573,1880.0,1880.0,1880.0,1887.5023041474653,1088.8341013824884,562.2764976958525,26.54555808656036,25.872437357630975,25.276309794988606,14249.386440677967,4048.237288135593,825.1254237288135
222,,,,920.0,920.0,920.0,,,,5.1,5.1,5.1,madhya_pradesh,28.0,28.0,28.0,110.0,110.0,110.0,7.5,7.5,7.5,3.1707964601769913,2.6238938053097334,2.198230088495573,920.0,920.0,920.0,1887.5023041474653,1088.8341013824884,562.2764976958525,28.0,28.0,28.0,110.0,110.0,110.0
