,SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
167,ANDAMAN & NICOBAR ISLANDS,1960,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
170,ANDAMAN & NICOBAR ISLANDS,1961,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
173,ANDAMAN & NICOBAR ISLANDS,1962,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
176,ANDAMAN & NICOBAR ISLANDS,1963,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
179,ANDAMAN & NICOBAR ISLANDS,1964,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
182,ANDAMAN & NICOBAR ISLANDS,1965,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
185,ANDAMAN & NICOBAR ISLANDS,1966,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
188,ANDAMAN & NICOBAR ISLANDS,1967,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
191,ANDAMAN & NICOBAR ISLANDS,1968,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
194,ANDAMAN & NICOBAR ISLANDS,1969,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
197,ANDAMAN & NICOBAR ISLANDS,1970,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
200,ANDAMAN & NICOBAR ISLANDS,1971,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
203,ANDAMAN & NICOBAR ISLANDS,1972,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
206,ANDAMAN & NICOBAR ISLANDS,1973,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
209,ANDAMAN & NICOBAR ISLANDS,1974,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
212,ANDAMAN & NICOBAR ISLANDS,1975,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
215,ANDAMAN & NICOBAR ISLANDS,1976,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
218,ANDAMAN & NICOBAR ISLANDS,1977,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
221,ANDAMAN & NICOBAR ISLANDS,1978,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
224,ANDAMAN & NICOBAR ISLANDS,1979,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
227,ANDAMAN & NICOBAR ISLANDS,1980,No. of districts,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
230,ANDAMAN & NICOBAR ISLANDS,1981,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
233,ANDAMAN & NICOBAR ISLANDS,1982,No. of districts,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
236,ANDAMAN & NICOBAR ISLANDS,1983,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
239,ANDAMAN & NICOBAR ISLANDS,1984,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
242,ANDAMAN & NICOBAR ISLANDS,1985,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
245,ANDAMAN & NICOBAR ISLANDS,1986,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
248,ANDAMAN & NICOBAR ISLANDS,1987,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
251,ANDAMAN & NICOBAR ISLANDS,1988,No. of districts,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
