STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
2032,"NEAR KHANPURA TALAB, AJMER",Rajasthan,33,33,33,7.7,7.7,7.7,310,310,310,1.2,1.2,1.2,1.2,1.2,1.2,NA,NA,NA,4,4,4
2033,"OUTSIDE JLN HOSPITAL, AJMER",Rajasthan,33,33,33,7.2,7.2,7.2,2000,2000,2000,1.5,1.5,1.5,2.1,2.1,2.1,NA,NA,NA,4,4,4
2957,"WELL/ HAND PUMPS IN THE RIICO INDUSTRIAL AREA, BANSWARA, RAJASTHAN",Rajasthan,28,28,28,7.8,7.8,7.8,890,890,890,1.3,1.3,1.3,1,1,1,NA,NA,NA,4,4,4
2958,"WELL OF SH. BHURA RAM, KHETRI NGAR, JHUNJHUNU, RAJASTHAN",Rajasthan,27,27,27,6.9,6.9,6.9,4100,4100,4100,1.8,1.8,1.8,1.8,1.8,1.8,4,4,4,7,7,7
2959,"WELL OF SH. BRIJA RAM, KHETRI NAGAR, JHUNJHUNU, RAJASTHAN",Rajasthan,27.5,27.5,27.5,7.6,7.6,7.6,4300,4300,4300,1.1,1.1,1.1,1.6,1.6,1.6,4,4,4,9,9,9
2960,"WELL INFRONT OF SINGHANA POLICE STATION, SINGHANA, JHUNJHUNU, RAJASTHAN",Rajasthan,29.5,29.5,29.5,7.1,7.1,7.1,3600,3600,3600,2,2,2,1.5,1.5,1.5,4,4,4,9,9,9
2961,"WELL OF SH MNAGAL CHAND MEENA, MANPUR MACHERI, JAIPUR, RAJASTHAN",Rajasthan,26,26,26,7.4,7.4,7.4,670,670,670,1.3,1.3,1.3,0.7,0.7,0.7,4,4,4,4,4,4
2962,"WELL OF SH MOOL CHAND RAIGER, MANPUR MACHERI, JAIPUR, RAJASTHAN",Rajasthan,26,26,26,7.5,7.5,7.5,750,750,750,1.3,1.3,1.3,0.6,0.6,0.6,NA,NA,NA,4,4,4
2963,"WELL OF RIICO AT LEATHER COMPLEX, MANPUR MACHERI, JAIPUR, RAJASTHAN",Rajasthan,25,25,25,7.8,7.8,7.8,990,990,990,0.8,0.8,0.8,0.6,0.6,0.6,NA,NA,NA,4,4,4
2964,"WELL AT INDIA PUBLIC SCHOOL, MANPUR MACHERI, JAIPUR, RAJASTHAN",Rajasthan,27,27,27,7.4,7.4,7.4,1170,1170,1170,2.5,2.5,2.5,0.6,0.6,0.6,NA,NA,NA,4,4,4
2965,"SHRI GIRDHARI SINGH CHOUDHARY NEAR BANDI RIVER BRIDGE, PALI BYE PASS ROAD, PALI, RAJASTHAN",Rajasthan,24,24,24,8.3,8.3,8.3,890,890,890,2.8,2.8,2.8,2.4,2.4,2.4,4,4,4,7,7,7
2966,"SHRI GIRDHARI SINGH RAJPUROHIT NEAR VILLAGE PUNAYATA, JODHPUR- SUMERPUR BYE PASS ROAD, PALI, RAJASTHAN",Rajasthan,25,25,25,8.4,8.4,8.4,5700,5700,5700,3,3,3,3,3,3,4,4,4,7,7,7
2967,"SH. POL SINGH PUROHIT, VILLAGE PUNAYATA, PALI, RAJASTHAN",Rajasthan,24,24,24,8.4,8.4,8.4,1590,1590,1590,2.8,2.8,2.8,1.4,1.4,1.4,4,4,4,7,7,7
