STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
2535,VISVA BHARATI,WEST BENGAL,30,31,30.5,6.9,7.3,7.1,482,493,488,0.5,0.7,0.6,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA
2536,NALHATI RAILWAY STATION OF BIRBHUM,WEST BENGAL,29,29,29,7.1,7.1,7.1,314,1013,664,0.9,1.1,1,4.7,6.6,5.7,NA,NA,NA,NA,NA,NA
2537,BOLPUR NEAR RAILWAY STATION,WEST BENGAL,28,30,29,7,8,7.5,358,801,580,0.3,0.9,0.6,2.2,2.6,2.4,NA,NA,NA,NA,NA,NA
2538,MOREGRAM CROSSING,WEST BENGAL,29,29,29,7,7,7,306,306,306,1.2,3.5,2.3,0.6,0.7,0.6,NA,NA,NA,NA,NA,NA
2540,SATI GHAT AT BANKURA TOWN,WEST BENGAL,28,30,29,7.5,7.5,7.5,1727,1854,1791,0.8,0.9,0.8,0.2,0.2,0.2,4,4,4,13,13,13
2542,DWARIKA AT BISHNUPUR TOWN,WEST BENGAL,26,29,27.5,6.6,6.7,6.7,742,814,778,0.4,0.9,0.7,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA
2543,SDO OFFICE AT BISHNUPUR TOWN,WEST BENGAL,26,29,27.5,5.7,8,6.9,123,140,132,0.4,0.7,0.6,2.1,3.4,2.8,NA,NA,NA,NA,NA,NA
2545,GROUND WATER POINT AT PURULIA RK MISSION,WEST BENGAL,27,32,29.5,6.8,7.5,7.1,485,1568,1027,1.1,1.7,1.4,3.9,4.1,4,8,8,8,13,13,13
2546,ULUBERIA COLLEGE AT HOWRAH,WEST BENGAL,26,29,27.5,7.9,8,7.9,969,987,978,0.3,0.7,0.5,0,0.8,0.4,4,4,4,13,13,13
2547,"AMTOLA ON DIAMOND HARBOUR ROAD, 24 PARGANAS (S)",WEST BENGAL,26,27,26.5,7.1,8,7.5,1048,2140,1594,0.3,1.4,0.8,0.1,0.6,0.3,500,500,500,900,900,900
2548,"HIDCO OFFICE, RAJARHAT",WEST BENGAL,27,29,28,7.2,7.5,7.4,1832,2040,1936,0.5,0.7,0.6,0.1,0.2,0.2,2,2,2,11,11,11
