,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,B.O.D. (mg/l) : Min : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,CONDUCTIVITY (µmhos/cm) : Min,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,NITRATE- N+ NITRITE-N (mg/l) : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,TEMPERATURE ºC : Min,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,pH : Min : 6.5-8.5,B.O.D. (mg/l) : Max : < 3 mg/l_imp,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,B.O.D. (mg/l) : Min : < 3 mg/l_imp,CONDUCTIVITY (µmhos/cm) : Max_imp,CONDUCTIVITY (µmhos/cm) : Mean_imp,CONDUCTIVITY (µmhos/cm) : Min_imp,STATION CODE,LOCATIONS,State
20,1.0,1.0,1.0,911.0,911.0,911.0,9.0,9.0,9.0,3.5,3.5,3.5,25.0,25.0,25.0,120.0,120.0,120.0,7.6,7.6,7.6,1.0,1.0,1.0,911.0,911.0,911.0,3092.0,"BORE WELL AT ARINAMA AKKIVALASA, SRIKAKULAM, A.P.",andhra_pradesh
21,1.0,1.0,1.0,2096.0,2096.0,2096.0,4.0,4.0,4.0,6.3,6.3,6.3,25.0,25.0,25.0,11.0,11.0,11.0,7.9,7.9,7.9,1.0,1.0,1.0,2096.0,2096.0,2096.0,3093.0,"B/W AT ALLADAPALEM VILLAGE, PYDIBHIMAVARAM, DISTT SRIKAKULAM, A.P.",andhra_pradesh
29,1.0,1.0,1.0,497.0,497.0,497.0,10.0,10.0,10.0,3.0,3.0,3.0,30.0,30.0,30.0,24.0,24.0,24.0,7.9,7.9,7.9,1.0,1.0,1.0,497.0,497.0,497.0,27.0,B/w at Peddavoora ,andhra_pradesh
32,1.8,1.4,0.9,364.0,333.0,302.0,0.0,0.0,0.0,0.7,0.5,0.3,25.0,24.5,24.0,91.0,91.0,91.0,7.5,7.0,6.4,1.8,1.4,0.9,364.0,333.0,302.0,1535.0,"*SIBSAGAR , ASSAM",assam
33,2.4,1.9,1.3,885.0,791.0,696.0,0.0,0.0,0.0,0.4,0.3,0.1,25.0,22.5,20.0,91.0,46.0,0.0,5.8,5.7,5.5,2.4,1.9,1.3,885.0,791.0,696.0,1536.0,"*SIBSAGAR, ASSAM",assam
35,1.0,0.7,0.3,149.0,125.0,100.0,36.0,18.0,0.0,4.8,3.7,2.5,24.0,22.0,20.0,4600.0,2300.0,0.0,5.4,5.1,4.7,1.0,0.7,0.3,149.0,125.0,100.0,1538.0,"*SILCHAR, ASSAM",assam
36,2.9,2.0,1.0,1043.0,599.0,154.0,0.0,0.0,0.0,2.5,1.5,0.5,31.0,27.5,24.0,0.0,0.0,0.0,7.4,6.8,6.2,2.9,2.0,1.0,1043.0,599.0,154.0,1539.0,"*BARPETA, ASSAM",assam
37,1.3,1.1,0.9,746.0,446.0,146.0,0.0,0.0,0.0,0.4,0.3,0.1,32.0,27.5,23.0,0.0,0.0,0.0,6.4,5.9,5.3,1.3,1.1,0.9,746.0,446.0,146.0,1540.0,"*BONAIGAON, ASSAM",assam
39,2.4,1.5,0.6,991.0,716.0,440.0,36.0,18.0,0.0,1.1,0.9,0.6,26.0,25.0,24.0,91.0,46.0,0.0,7.3,6.9,6.5,2.4,1.5,0.6,991.0,716.0,440.0,1542.0,"*GUWAHATI, ASSAM",assam
40,0.9,0.8,0.7,745.0,591.0,436.0,0.0,0.0,0.0,9.8,8.3,6.7,23.0,23.0,23.0,0.0,0.0,0.0,5.7,5.7,5.7,0.9,0.8,0.7,745.0,591.0,436.0,2243.0,"GROUND WATER FROM LEDO, MARGHERITA",assam
